Row,Policy ID,Issue,Severity,Value,Proposed fix
848,BTD-2025-00476,Inception date in DD/MM/YYYY text format,High,21/04/2025,"Parse as UK day-first, store as ISO date"
871,BTD-2025-00611,Inception date in DD/MM/YYYY text format,High,23/09/2025,"Parse as UK day-first, store as ISO date"
876,BTD-2025-00412,Inception date in DD/MM/YYYY text format,High,25/02/2025,"Parse as UK day-first, store as ISO date"
891,BTD-2025-00649,Inception date in DD/MM/YYYY text format,High,17/10/2025,"Parse as UK day-first, store as ISO date"
902,BTD-2024-00269,Inception date in DD/MM/YYYY text format,High,15/10/2024,"Parse as UK day-first, store as ISO date"
910,BTD-2024-00253,Inception date in DD/MM/YYYY text format,High,24/09/2024,"Parse as UK day-first, store as ISO date"
155,BTD-2024-00135,Inception year contradicts Policy ID year,High,2042-05-01,Correct year to Policy ID year
537,BTD-2025-00434,Inception year contradicts Policy ID year,High,2205-03-01,Correct year to Policy ID year
382,BTD-2024-00043,Negative GWP (sign error),High,-15697.87,Take absolute value; confirm not a cancellation
503,BTD-2025-00372,Negative GWP (sign error),High,-24550,Take absolute value; confirm not a cancellation
592,BTD-2025-00456,Negative GWP (sign error),High,-12546.51,Take absolute value; confirm not a cancellation
629,BTD-2025-00453,Negative GWP (sign error),High,-5270,Take absolute value; confirm not a cancellation
10,BTD-2025-00364,Revenue stored as text (thousands separator),High,"11,324.81","Strip commas, store as number"
145,BTD-2025-00399,Revenue stored as text (thousands separator),High,"3,580.60","Strip commas, store as number"
235,BTD-2026-00724,Revenue stored as text (thousands separator),High,"3,928.29","Strip commas, store as number"
330,BTD-2025-00415,Revenue stored as text (thousands separator),High,"2,604.06","Strip commas, store as number"
344,BTD-2025-00579,Revenue stored as text (thousands separator),High,"2,325.87","Strip commas, store as number"
445,BTD-2026-00907,Revenue stored as text (thousands separator),High,"5,033.84","Strip commas, store as number"
457,BTD-2024-00165,Revenue stored as text (thousands separator),High,"2,621.14","Strip commas, store as number"
603,BTD-2024-00130,Revenue stored as text (thousands separator),High,"2,848.47","Strip commas, store as number"
606,BTD-2026-00913,Revenue stored as text (thousands separator),High,"3,635.82","Strip commas, store as number"
693,BTD-2025-00413,Revenue stored as text (thousands separator),High,"8,864.81","Strip commas, store as number"
767,BTD-2025-00608,Revenue stored as text (thousands separator),High,"4,333.61","Strip commas, store as number"
785,BTD-2024-00256,Revenue stored as text (thousands separator),High,"2,183.67","Strip commas, store as number"
859,BTD-2025-00632,Revenue stored as text (thousands separator),High,"3,994.44","Strip commas, store as number"
916,BTD-2024-00143,Revenue stored as text (thousands separator),High,"2,005.96","Strip commas, store as number"
6,BTD-2025-00544,Status Live but expiry in the past,High,2026-07-13,Re-status to Expired/Renewed from source system
39,BTD-2025-00550,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
45,BTD-2025-00626,Status Live but expiry in the past,High,2026-09-04,Re-status to Expired/Renewed from source system
47,BTD-2025-00601,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
51,BTD-2025-00583,Status Live but expiry in the past,High,2026-07-12,Re-status to Expired/Renewed from source system
61,BTD-2025-00617,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
94,BTD-2026-00743,Status Live but expiry in the past,High,2025-09-06,Re-status to Expired/Renewed from source system
95,BTD-2025-00575,Status Live but expiry in the past,High,2026-07-17,Re-status to Expired/Renewed from source system
96,BTD-2025-00586,Status Live but expiry in the past,High,2026-07-14,Re-status to Expired/Renewed from source system
126,BTD-2025-00604,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
128,BTD-2025-00580,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
136,BTD-2026-00751,Status Live but expiry in the past,High,2026-07-02,Re-status to Expired/Renewed from source system
144,BTD-2025-00557,Status Live but expiry in the past,High,2026-07-04,Re-status to Expired/Renewed from source system
153,BTD-2025-00565,Status Live but expiry in the past,High,2026-07-21,Re-status to Expired/Renewed from source system
163,BTD-2026-00816,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
167,BTD-2026-00781,Status Live but expiry in the past,High,2026-07-16,Re-status to Expired/Renewed from source system
170,BTD-2025-00627,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
189,BTD-2025-00631,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
190,BTD-2025-00600,Status Live but expiry in the past,High,2026-08-07,Re-status to Expired/Renewed from source system
208,BTD-2026-00824,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
215,BTD-2026-00817,Status Live but expiry in the past,High,2026-08-24,Re-status to Expired/Renewed from source system
216,BTD-2025-00570,Status Live but expiry in the past,High,2026-07-19,Re-status to Expired/Renewed from source system
226,BTD-2025-00566,Status Live but expiry in the past,High,2026-07-08,Re-status to Expired/Renewed from source system
230,BTD-2025-00543,Status Live but expiry in the past,High,2026-07-20,Re-status to Expired/Renewed from source system
241,BTD-2025-00592,Status Live but expiry in the past,High,2026-08-19,Re-status to Expired/Renewed from source system
256,BTD-2025-00597,Status Live but expiry in the past,High,2026-08-03,Re-status to Expired/Renewed from source system
282,BTD-2025-00618,Status Live but expiry in the past,High,2026-09-04,Re-status to Expired/Renewed from source system
284,BTD-2025-00563,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
285,BTD-2026-00792,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
291,BTD-2026-00779,Status Live but expiry in the past,High,2026-07-18,Re-status to Expired/Renewed from source system
294,BTD-2025-00607,Status Live but expiry in the past,High,2026-08-03,Re-status to Expired/Renewed from source system
297,BTD-2025-00535,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
317,BTD-2025-00582,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
328,BTD-2025-00594,Status Live but expiry in the past,High,2026-08-02,Re-status to Expired/Renewed from source system
331,BTD-2025-00581,Status Live but expiry in the past,High,2026-07-09,Re-status to Expired/Renewed from source system
332,BTD-2025-00610,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
339,BTD-2026-00829,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
353,BTD-2025-00593,Status Live but expiry in the past,High,2026-08-13,Re-status to Expired/Renewed from source system
361,BTD-2024-00237,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
376,BTD-2025-00599,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
389,BTD-2025-00558,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
391,BTD-2025-00559,Status Live but expiry in the past,High,2026-07-14,Re-status to Expired/Renewed from source system
410,BTD-2026-00828,Status Live but expiry in the past,High,2026-09-04,Re-status to Expired/Renewed from source system
424,BTD-2025-00576,Status Live but expiry in the past,High,2026-07-12,Re-status to Expired/Renewed from source system
435,BTD-2026-00762,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
458,BTD-2026-00830,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
463,BTD-2025-00556,Status Live but expiry in the past,High,2026-07-02,Re-status to Expired/Renewed from source system
465,BTD-2025-00568,Status Live but expiry in the past,High,2026-07-05,Re-status to Expired/Renewed from source system
466,BTD-2025-00551,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
470,BTD-2025-00549,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
496,BTD-2025-00588,Status Live but expiry in the past,High,2026-08-05,Re-status to Expired/Renewed from source system
506,BTD-2025-00589,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
510,BTD-2025-00634,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
515,BTD-2025-00567,Status Live but expiry in the past,High,2026-07-21,Re-status to Expired/Renewed from source system
529,BTD-2026-00718,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
546,BTD-2025-00538,Status Live but expiry in the past,High,2026-07-27,Re-status to Expired/Renewed from source system
547,BTD-2025-00616,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
552,BTD-2025-00574,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
554,BTD-2025-00552,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
567,BTD-2025-00545,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
571,BTD-2025-00602,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
596,BTD-2025-00569,Status Live but expiry in the past,High,2026-07-15,Re-status to Expired/Renewed from source system
600,BTD-2024-00181,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
612,BTD-2025-00603,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
627,BTD-2025-00560,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
633,BTD-2024-00244,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
635,BTD-2025-00572,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
670,BTD-2026-00742,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
672,BTD-2025-00561,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
686,BTD-2025-00540,Status Live but expiry in the past,High,2026-07-15,Re-status to Expired/Renewed from source system
688,BTD-2025-00609,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
695,BTD-2025-00539,Status Live but expiry in the past,High,2026-07-07,Re-status to Expired/Renewed from source system
697,BTD-2025-00541,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
713,BTD-2025-00595,Status Live but expiry in the past,High,2026-08-23,Re-status to Expired/Renewed from source system
716,BTD-2025-00564,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
730,BTD-2024-00212,Status Live but expiry in the past,High,2026-07-20,Re-status to Expired/Renewed from source system
737,BTD-2025-00625,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
741,BTD-2025-00548,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
752,BTD-2025-00555,Status Live but expiry in the past,High,2026-07-06,Re-status to Expired/Renewed from source system
773,BTD-2025-00596,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
776,BTD-2025-00571,Status Live but expiry in the past,High,2026-07-15,Re-status to Expired/Renewed from source system
794,BTD-2025-00591,Status Live but expiry in the past,High,2026-08-01,Re-status to Expired/Renewed from source system
798,BTD-2025-00605,Status Live but expiry in the past,High,2026-08-04,Re-status to Expired/Renewed from source system
802,BTD-2025-00633,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
820,BTD-2024-00206,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
845,BTD-2025-00587,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
846,BTD-2025-00546,Status Live but expiry in the past,High,2026-07-10,Re-status to Expired/Renewed from source system
900,BTD-2026-00786,Status Live but expiry in the past,High,2025-10-18,Re-status to Expired/Renewed from source system
903,BTD-2025-00562,Status Live but expiry in the past,High,2026-07-22,Re-status to Expired/Renewed from source system
905,BTD-2025-00598,Status Live but expiry in the past,High,2026-08-22,Re-status to Expired/Renewed from source system
919,BTD-2025-00573,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
951,BTD-2025-00536,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
955,BTD-2025-00630,Status Live but expiry in the past,High,2026-09-01,Re-status to Expired/Renewed from source system
958,BTD-2025-00577,Status Live but expiry in the past,High,2026-07-19,Re-status to Expired/Renewed from source system
960,BTD-2025-00542,Status Live but expiry in the past,High,2026-07-01,Re-status to Expired/Renewed from source system
56,BTD-2026-00763,Account Owner name variant,Medium,E Voss,Map to canonical name
67,BTD-2024-00100,Account Owner name variant,Medium,E Voss,Map to canonical name
165,BTD-2026-00912,Account Owner name variant,Medium,marcus ridley,Map to canonical name
166,BTD-2024-00281,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
193,BTD-2024-00183,Account Owner name variant,Medium,marcus ridley,Map to canonical name
197,BTD-2025-00511,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
233,BTD-2024-00045,Account Owner name variant,Medium,E Voss,Map to canonical name
248,BTD-2024-00208,Account Owner name variant,Medium,marcus ridley,Map to canonical name
316,BTD-2024-00133,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
359,BTD-2025-00622,Account Owner name variant,Medium,E Voss,Map to canonical name
367,BTD-2026-00906,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
369,BTD-2024-00305,Account Owner name variant,Medium,marcus ridley,Map to canonical name
407,BTD-2025-00700,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
453,BTD-2024-00053,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
519,BTD-2024-00254,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
526,BTD-2025-00331,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
544,BTD-2025-00411,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
550,BTD-2024-00154,Account Owner name variant,Medium,marcus ridley,Map to canonical name
615,BTD-2024-00224,Account Owner name variant,Medium,E Voss,Map to canonical name
651,BTD-2024-00108,Account Owner name variant,Medium,E Voss,Map to canonical name
723,BTD-2024-00179,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
732,BTD-2024-00145,Account Owner name variant,Medium,E Voss,Map to canonical name
736,BTD-2025-00438,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
815,BTD-2025-00492,Account Owner name variant,Medium,marcus ridley,Map to canonical name
825,BTD-2024-00188,Account Owner name variant,Medium,marcus ridley,Map to canonical name
829,BTD-2026-00732,Account Owner name variant,Medium,marcus ridley,Map to canonical name
927,BTD-2024-00191,Account Owner name variant,Medium,Eleanor  Voss,Map to canonical name
17,BTD-2026-00766,Country alias,Medium,UK,Map to canonical value
28,BTD-2025-00370,Country alias,Medium,UK,Map to canonical value
35,BTD-2024-00235,Country alias,Medium,USA,Map to canonical value
36,BTD-2024-00048,Country alias,Medium,UK,Map to canonical value
40,BTD-2025-00553,Country alias,Medium,UK,Map to canonical value
65,BTD-2024-00192,Country alias,Medium,UK,Map to canonical value
72,BTD-2024-00171,Country alias,Medium,UK,Map to canonical value
77,BTD-2024-00029,Country alias,Medium,US,Map to canonical value
96,BTD-2025-00586,Country alias,Medium,USA,Map to canonical value
107,BTD-2026-00872,Country alias,Medium,UK,Map to canonical value
109,BTD-2024-00144,Country alias,Medium,UK,Map to canonical value
152,BTD-2024-00315,Country alias,Medium,UK,Map to canonical value
167,BTD-2026-00781,Country alias,Medium,USA,Map to canonical value
215,BTD-2026-00817,Country alias,Medium,UK,Map to canonical value
226,BTD-2025-00566,Country alias,Medium,USA,Map to canonical value
230,BTD-2025-00543,Country alias,Medium,UK,Map to canonical value
232,BTD-2026-00809,Country alias,Medium,USA,Map to canonical value
234,BTD-2025-00426,Country alias,Medium,UK,Map to canonical value
237,BTD-2024-00051,Country alias,Medium,US,Map to canonical value
238,BTD-2026-00885,Country alias,Medium,USA,Map to canonical value
262,BTD-2024-00059,Country alias,Medium,UK,Map to canonical value
276,BTD-2026-00768,Country alias,Medium,UK,Map to canonical value
293,BTD-2025-00333,Country alias,Medium,US,Map to canonical value
294,BTD-2025-00607,Country alias,Medium,USA,Map to canonical value
313,BTD-2024-00214,Country alias,Medium,UK,Map to canonical value
317,BTD-2025-00582,Country alias,Medium,UK,Map to canonical value
327,BTD-2025-00336,Country alias,Medium,UK,Map to canonical value
338,BTD-2025-00679,Country alias,Medium,UK,Map to canonical value
357,BTD-2024-00300,Country alias,Medium,UK,Map to canonical value
392,BTD-2025-00623,Country alias,Medium,USA,Map to canonical value
404,BTD-2024-00013,Country alias,Medium,UK,Map to canonical value
422,BTD-2026-00924,Country alias,Medium,UK,Map to canonical value
440,BTD-2026-00729,Country alias,Medium,UK,Map to canonical value
467,BTD-2024-00273,Country alias,Medium,UK,Map to canonical value
489,BTD-2024-00271,Country alias,Medium,USA,Map to canonical value
502,BTD-2024-00134,Country alias,Medium,UK,Map to canonical value
505,BTD-2024-00018,Country alias,Medium,US,Map to canonical value
513,BTD-2024-00307,Country alias,Medium,USA,Map to canonical value
518,BTD-2024-00177,Country alias,Medium,US,Map to canonical value
553,BTD-2025-00342,Country alias,Medium,UK,Map to canonical value
570,BTD-2025-00661,Country alias,Medium,USA,Map to canonical value
591,BTD-2026-00716,Country alias,Medium,USA,Map to canonical value
604,BTD-2025-00356,Country alias,Medium,UK,Map to canonical value
632,BTD-2026-00749,Country alias,Medium,UK,Map to canonical value
635,BTD-2025-00572,Country alias,Medium,USA,Map to canonical value
640,BTD-2026-00756,Country alias,Medium,UK,Map to canonical value
657,BTD-2025-00468,Country alias,Medium,UK,Map to canonical value
663,BTD-2024-00101,Country alias,Medium,USA,Map to canonical value
710,BTD-2025-00505,Country alias,Medium,UK,Map to canonical value
711,BTD-2026-00947,Country alias,Medium,USA,Map to canonical value
712,BTD-2026-00909,Country alias,Medium,UK,Map to canonical value
719,BTD-2024-00141,Country alias,Medium,UK,Map to canonical value
725,BTD-2025-00525,Country alias,Medium,USA,Map to canonical value
731,BTD-2025-00652,Country alias,Medium,UK,Map to canonical value
735,BTD-2024-00304,Country alias,Medium,UK,Map to canonical value
744,BTD-2024-00279,Country alias,Medium,USA,Map to canonical value
746,BTD-2025-00585,Country alias,Medium,USA,Map to canonical value
780,BTD-2026-00759,Country alias,Medium,US,Map to canonical value
786,BTD-2025-00464,Country alias,Medium,USA,Map to canonical value
807,BTD-2025-00531,Country alias,Medium,UK,Map to canonical value
816,BTD-2025-00670,Country alias,Medium,UK,Map to canonical value
819,BTD-2026-00744,Country alias,Medium,US,Map to canonical value
838,BTD-2026-00800,Country alias,Medium,UK,Map to canonical value
842,BTD-2024-00001,Country alias,Medium,UK,Map to canonical value
853,BTD-2024-00016,Country alias,Medium,US,Map to canonical value
860,BTD-2026-00847,Country alias,Medium,USA,Map to canonical value
864,BTD-2024-00124,Country alias,Medium,USA,Map to canonical value
892,BTD-2024-00225,Country alias,Medium,UK,Map to canonical value
923,BTD-2024-00291,Country alias,Medium,USA,Map to canonical value
929,BTD-2026-00838,Country alias,Medium,UK,Map to canonical value
933,BTD-2025-00448,Country alias,Medium,US,Map to canonical value
43,BTD-2024-00245,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
46,BTD-2024-00169,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
100,BTD-2026-00741,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
141,BTD-2025-00467,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
159,BTD-2026-00765,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
181,BTD-2024-00092,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
216,BTD-2025-00570,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
239,BTD-2026-00855,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
284,BTD-2025-00563,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
